Klantnr;Naam;Artikelnr;Verp;Inh;Eh;Omschrijving;Aantal;Prijs;Omzet;Factuursplitsing;Ean;Biologisch;Dierenwelzijn;Goede Vis MSC;Gezonde Keuze;Fair trade;Rainsforrest alliance;UTZ;Milieubewust;Veggie;Streekproducten;Vegan
208758;SUNSEA BAR            W.I;100008;ds;24;fl;BigTom tomatensap rich & spicy 25ltr;4;27,06;108,22;Dranken laag;5,02E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;106535;tr;6;st;Schulp appelsap 75cl;8;6,86;54,91;Dranken laag;8,72E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;106585;tr;6;st;Schulp appel/vlierbessensap 75cl;3;8,89;26,67;Dranken laag;8,72E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;107947;ds;12;fl;Landsbest apsap 250ml NL-BIO-01;86;11,42;982,08;Dranken laag;8,71E+12;Ja;;;;;;;;;;
208758;SUNSEA BAR            W.I;200543;ds;24;fl;Sol bier 33cl;9;26;234;Dranken hoog;7,50E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;230095;tr;24;fl;Heineken twist off 25cl;10;20,15;201,5;Dranken hoog;8,71E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;250738;ds;24;fl;Desperado wegwerp 33cl;5;30;150;Dranken hoog;3,16E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;271370;vt;20;lt;Brand weizener 20ltr all in one;1;107,78;107,78;Dranken hoog;8,71E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;281296;fl;70;cl;Monin mango;3;5,88;17,64;Dranken laag;3,05E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;281311;fl;70;cl;Monin vanille;3;6,27;18,81;Bonensappen;3,05E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;281337;fl;70;cl;Monin caramel;8;5,96;47,68;Bonensappen;3,05E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;281402;fl;70;cl;Monin noisette (hazelnoot);1;6,4;6,4;Bonensappen;3,05E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;281478;fl;70;cl;Monin witte chocolade;2;6,27;12,54;Bonensappen;3,05E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;281642;fl;70;cl;Monin hazelnoot suikervrij SV;3;5,99;17,97;Dranken laag;3,05E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;299364;ds;12;pk;Chocomel vol pak 1ltr UTZ;2;21,77;43,54;Dranken laag;;;;;;;;Ja;;;;
208758;SUNSEA BAR            W.I;299504;kr;24;fl;Fristi drinkyoghurt 20cl;2;15,89;31,78;Dranken laag;87124255;;;;;;;;;;;
208758;SUNSEA BAR            W.I;503963;fl;100;cl;Bootz rum dark 1ltr;4;12,67;50,68;Dranken hoog;8,72E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;1003008;pk;1;lt;Campina karnemelk pak;18;1,55;27,9;Dranken laag;8,71E+12;;;;Ja;;;;;;;
208758;SUNSEA BAR            W.I;1003024;pk;1;lt;Campina halfvolle melk pak 702929;50;1,34;67,08;Dranken laag;8,71E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;1003206;pk;1;lt;Campina slagroom 40% ONGEZOET;248;4,8;1190,4;keuken ingred.;8,71E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;1003269;tr;6;fl;Campina slagroom royspray 225gr;3;14,35;43,05;Dranken laag;8,71E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;1004465;pk;1;lt;Zuivelmeester halfvolle melk;14;1,45;20,3;Dranken laag;;;;;;;;;;;;
208758;SUNSEA BAR            W.I;1030311;tr;12;pk;Naarmann volle melk houdbaar 1ltr;1;16,3;16,3;keuken ingred.;6,54E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;1040089;tr;12;bl;Fr vlag gecondensmelk 397ml;8;22,03;176,24;keuken ingred.;8,72E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;1040120;ds;6;pk;Oatly havermelk edition 1ltr;15;12,4;186;keuken ingred.;2,74E+13;;;;;;;;;;;
208758;SUNSEA BAR            W.I;1040196;em;5;lt;Apostels yoghurt grieks;32;10,29;329,24;keuken ingred.;4,00E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;1045211;em;1;lt;Konings griekse yoghurt 10%;2;2,6;5,2;keuken ingred.;8,72E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;1050004;pk;1;lt;Zuivelmeester halfvolle melk;73;1,29;94,17;Diversen;8,71E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2000248;pk;1;kg;Gilse kristalsuiker;55;1,31;72,3;keuken ingred.;8,71E+12;;;;;;;;;;;
208758;SUNSEA BAR            W.I;2001262;em;5;kg;La baleine zeezout grof;9;6,6;59,44;keuken ingred.;3,18E+12;;;;;;;;;;;
